2288642,2282562,1581951,2271709
2215505,2975419,2229474,3709584
275497,3166843,-626874,3143870
1189444,2115305,1581951,2271709
172215,2327851,-101830,2000000
3953907,1957660,2882446,1934422
685737,2465261,1581951,2271709
1458348,2739442,1581951,2271709
3742876,2811554,3133845,3162635
437819,638526,-101830,2000000
2537979,1762726,2882446,1934422
1368739,2222863,1581951,2271709
2743572,3976937,2229474,3709584
2180640,105414,3011118,-101788
3845753,474814,3011118,-101788
2493694,3828087,2229474,3709584
2786014,3388077,3133845,3162635
3593418,3761871,3133845,3162635
856288,3880566,2229474,3709584
1757086,2518373,1581951,2271709
2853518,2939097,3133845,3162635
1682023,1449902,1581951,2271709
3360575,1739100,2882446,1934422
2904259,1465606,2882446,1934422
3078500,3564862,3133845,3162635
2835288,1011055,2882446,1934422
2998762,2414323,2882446,1934422
